post_cntry_num,post_cntry_name,hs_state,count
376,AFGHANISTAN,AK,11
376,AFGHANISTAN,AL,5
376,AFGHANISTAN,AR,5
376,AFGHANISTAN,AZ,19
376,AFGHANISTAN,CA,176
376,AFGHANISTAN,CO,33
376,AFGHANISTAN,CT,13
376,AFGHANISTAN,DC,23
376,AFGHANISTAN,DE,3
376,AFGHANISTAN,FL,45
376,AFGHANISTAN,GA,14
376,AFGHANISTAN,GU,1
376,AFGHANISTAN,HI,9
376,AFGHANISTAN,IA,13
376,AFGHANISTAN,ID,1
376,AFGHANISTAN,IL,34
376,AFGHANISTAN,IN,17
376,AFGHANISTAN,KS,10
376,AFGHANISTAN,KY,12
376,AFGHANISTAN,LA,4
376,AFGHANISTAN,MA,68
376,AFGHANISTAN,MD,29
376,AFGHANISTAN,ME,10
376,AFGHANISTAN,MI,31
376,AFGHANISTAN,MN,34
376,AFGHANISTAN,MO,22
376,AFGHANISTAN,MS,4
376,AFGHANISTAN,MT,9
376,AFGHANISTAN,NC,26
376,AFGHANISTAN,ND,2
376,AFGHANISTAN,NE,11
376,AFGHANISTAN,NH,15
376,AFGHANISTAN,NJ,35
376,AFGHANISTAN,NM,13
376,AFGHANISTAN,NV,14
376,AFGHANISTAN,NY,74
376,AFGHANISTAN,OH,24
376,AFGHANISTAN,OK,7
376,AFGHANISTAN,OR,45
376,AFGHANISTAN,PA,46
376,AFGHANISTAN,RI,4
376,AFGHANISTAN,SC,11
376,AFGHANISTAN,SD,3
376,AFGHANISTAN,TN,10
376,AFGHANISTAN,TX,28
376,AFGHANISTAN,UT,10
376,AFGHANISTAN,VA,57
376,AFGHANISTAN,VT,15
376,AFGHANISTAN,WA,63
376,AFGHANISTAN,WI,37
376,AFGHANISTAN,WV,1
376,AFGHANISTAN,WY,2
304,ALBANIA,AK,3
304,ALBANIA,AL,2
304,ALBANIA,AR,7
304,ALBANIA,AZ,6
304,ALBANIA,CA,66
304,ALBANIA,CO,20
304,ALBANIA,CT,15
304,ALBANIA,DC,6
304,ALBANIA,FL,20
304,ALBANIA,GA,11
304,ALBANIA,HI,3
304,ALBANIA,IA,6
304,ALBANIA,ID,6
304,ALBANIA,IL,30
304,ALBANIA,IN,10
304,ALBANIA,KS,8
304,ALBANIA,KY,3
304,ALBANIA,LA,2
304,ALBANIA,MA,17
304,ALBANIA,MD,9
304,ALBANIA,ME,5
304,ALBANIA,MI,22
304,ALBANIA,MN,18
304,ALBANIA,MO,9
304,ALBANIA,MT,3
304,ALBANIA,NC,15
304,ALBANIA,ND,2
304,ALBANIA,NE,2
304,ALBANIA,NH,1
304,ALBANIA,NJ,13
304,ALBANIA,NM,6
304,ALBANIA,NV,1
304,ALBANIA,NY,26
304,ALBANIA,OH,23
304,ALBANIA,OK,3
304,ALBANIA,OR,13
304,ALBANIA,PA,25
304,ALBANIA,RI,4
304,ALBANIA,SC,3
304,ALBANIA,TN,3
304,ALBANIA,TX,28
304,ALBANIA,UT,5
304,ALBANIA,VA,12
304,ALBANIA,WA,28
304,ALBANIA,WI,8
304,ALBANIA,WV,1
304,ALBANIA,WY,2
561,ARGENTINA,AZ,2
561,ARGENTINA,CA,10
561,ARGENTINA,FL,1
561,ARGENTINA,IL,5
561,ARGENTINA,KY,1
561,ARGENTINA,MA,2
561,ARGENTINA,ME,1
561,ARGENTINA,NY,6
561,ARGENTINA,OK,1
561,ARGENTINA,OR,1
561,ARGENTINA,PA,2
561,ARGENTINA,TX,8
561,ARGENTINA,VT,1
561,ARGENTINA,WA,5
305,ARMENIA,AK,8
305,ARMENIA,AL,5
305,ARMENIA,AR,5
305,ARMENIA,AZ,16
305,ARMENIA,CA,85
305,ARMENIA,CO,30
305,ARMENIA,CT,21
305,ARMENIA,DC,2
305,ARMENIA,DE,4
305,ARMENIA,FL,27
305,ARMENIA,GA,10
305,ARMENIA,IA,4
305,ARMENIA,ID,6
305,ARMENIA,IL,35
305,ARMENIA,IN,14
305,ARMENIA,KS,7
305,ARMENIA,KY,8
305,ARMENIA,LA,2
305,ARMENIA,MA,23
305,ARMENIA,MD,15
305,ARMENIA,ME,8
305,ARMENIA,MI,27
305,ARMENIA,MN,14
305,ARMENIA,MO,18
305,ARMENIA,MS,1
305,ARMENIA,MT,6
305,ARMENIA,NC,15
305,ARMENIA,ND,2
305,ARMENIA,NE,10
305,ARMENIA,NH,7
305,ARMENIA,NJ,21
305,ARMENIA,NM,6
305,ARMENIA,NV,5
305,ARMENIA,NY,46
305,ARMENIA,OH,30
305,ARMENIA,OK,11
305,ARMENIA,OR,31
305,ARMENIA,PA,31
305,ARMENIA,RI,4
305,ARMENIA,SC,8
305,ARMENIA,TN,11
305,ARMENIA,TX,45
305,ARMENIA,UT,7
305,ARMENIA,VA,21
305,ARMENIA,VT,6
305,ARMENIA,WA,35
305,ARMENIA,WI,40
305,ARMENIA,WV,5
305,ARMENIA,WY,3
314,AZERBAIJAN,AK,2
314,AZERBAIJAN,AL,3
314,AZERBAIJAN,AR,2
314,AZERBAIJAN,AZ,6
314,AZERBAIJAN,CA,64
314,AZERBAIJAN,CO,11
314,AZERBAIJAN,CT,8
314,AZERBAIJAN,DC,3
314,AZERBAIJAN,FL,19
314,AZERBAIJAN,GA,10
314,AZERBAIJAN,HI,1
314,AZERBAIJAN,IA,7
314,AZERBAIJAN,ID,2
314,AZERBAIJAN,IL,23
314,AZERBAIJAN,IN,7
314,AZERBAIJAN,KS,4
314,AZERBAIJAN,LA,3
314,AZERBAIJAN,MA,14
314,AZERBAIJAN,MD,10
314,AZERBAIJAN,ME,7
314,AZERBAIJAN,MI,16
314,AZERBAIJAN,MN,15
314,AZERBAIJAN,MO,9
314,AZERBAIJAN,MT,4
314,AZERBAIJAN,NC,11
314,AZERBAIJAN,ND,3
314,AZERBAIJAN,NE,6
314,AZERBAIJAN,NH,4
314,AZERBAIJAN,NJ,13
314,AZERBAIJAN,NM,3
314,AZERBAIJAN,NV,1
314,AZERBAIJAN,NY,17
314,AZERBAIJAN,OH,27
314,AZERBAIJAN,OK,6
314,AZERBAIJAN,OR,20
314,AZERBAIJAN,PA,11
314,AZERBAIJAN,RI,1
314,AZERBAIJAN,SC,6
314,AZERBAIJAN,SD,1
314,AZERBAIJAN,TN,2
314,AZERBAIJAN,TX,25
314,AZERBAIJAN,UT,5
314,AZERBAIJAN,VA,17
314,AZERBAIJAN,VT,1
314,AZERBAIJAN,WA,30
314,AZERBAIJAN,WI,12
314,AZERBAIJAN,WV,2
380,BAHRAIN,AZ,4
380,BAHRAIN,CA,6
380,BAHRAIN,FL,5
380,BAHRAIN,GA,1
380,BAHRAIN,HI,2
380,BAHRAIN,IL,3
380,BAHRAIN,IN,2
380,BAHRAIN,MA,1
380,BAHRAIN,MD,1
380,BAHRAIN,MI,3
380,BAHRAIN,MN,3
380,BAHRAIN,MO,1
380,BAHRAIN,NC,1
380,BAHRAIN,NE,1
380,BAHRAIN,NM,3
380,BAHRAIN,NY,1
380,BAHRAIN,OH,4
380,BAHRAIN,OR,1
380,BAHRAIN,RI,1
380,BAHRAIN,SD,1
380,BAHRAIN,TN,2
380,BAHRAIN,TX,2
380,BAHRAIN,VA,3
380,BAHRAIN,WA,9
380,BAHRAIN,WI,2
380,BAHRAIN,WV,2
388,BANGLADESH,AK,7
388,BANGLADESH,AR,3
388,BANGLADESH,AZ,8
388,BANGLADESH,CA,28
388,BANGLADESH,CO,9
388,BANGLADESH,CT,4
388,BANGLADESH,DE,2
388,BANGLADESH,FL,7
388,BANGLADESH,GA,3
388,BANGLADESH,IA,6
388,BANGLADESH,ID,1
388,BANGLADESH,IL,6
388,BANGLADESH,IN,7
388,BANGLADESH,KS,2
388,BANGLADESH,KY,5
388,BANGLADESH,MA,6
388,BANGLADESH,MD,5
388,BANGLADESH,ME,4
388,BANGLADESH,MI,6
388,BANGLADESH,MN,3
388,BANGLADESH,MO,4
388,BANGLADESH,MT,1
388,BANGLADESH,NC,4
388,BANGLADESH,NH,1
388,BANGLADESH,NJ,5
388,BANGLADESH,NM,2
388,BANGLADESH,NV,2
388,BANGLADESH,NY,10
388,BANGLADESH,OH,7
388,BANGLADESH,OK,4
388,BANGLADESH,OR,4
388,BANGLADESH,PA,7
388,BANGLADESH,RI,1
388,BANGLADESH,SC,2
388,BANGLADESH,TN,1
388,BANGLADESH,TX,9
388,BANGLADESH,UT,3
388,BANGLADESH,VA,7
388,BANGLADESH,VT,3
388,BANGLADESH,WA,10
388,BANGLADESH,WI,12
388,BANGLADESH,WV,2
388,BANGLADESH,WY,1
535,BELIZE,AE,1
535,BELIZE,AK,9
535,BELIZE,AL,2
535,BELIZE,AR,3
535,BELIZE,AZ,39
535,BELIZE,CA,283
535,BELIZE,CO,71
535,BELIZE,CT,20
535,BELIZE,DC,8
535,BELIZE,DE,1
535,BELIZE,FL,81
535,BELIZE,GA,27
535,BELIZE,HI,12
535,BELIZE,IA,34
535,BELIZE,ID,20
535,BELIZE,IL,68
535,BELIZE,IN,38
535,BELIZE,KS,14
535,BELIZE,KY,14
535,BELIZE,LA,11
535,BELIZE,MA,48
535,BELIZE,MD,39
535,BELIZE,ME,25
535,BELIZE,MI,73
535,BELIZE,MN,73
535,BELIZE,MO,32
535,BELIZE,MP,1
535,BELIZE,MS,8
535,BELIZE,MT,15
535,BELIZE,NC,48
535,BELIZE,ND,3
535,BELIZE,NE,15
535,BELIZE,NH,13
535,BELIZE,NJ,34
535,BELIZE,NM,19
535,BELIZE,NV,7
535,BELIZE,NY,90
535,BELIZE,OH,55
535,BELIZE,OK,10
535,BELIZE,OR,56
535,BELIZE,PA,55
535,BELIZE,PR,1
535,BELIZE,RI,8
535,BELIZE,SC,13
535,BELIZE,SD,6
535,BELIZE,TN,12
535,BELIZE,TX,85
535,BELIZE,UT,17
535,BELIZE,VA,47
535,BELIZE,VT,11
535,BELIZE,WA,81
535,BELIZE,WI,49
535,BELIZE,WV,7
535,BELIZE,WY,3
680,BENIN,AK,12
680,BENIN,AL,12
680,BENIN,AR,8
680,BENIN,AZ,28
680,BENIN,CA,209
680,BENIN,CO,60
680,BENIN,CT,29
680,BENIN,DC,27
680,BENIN,DE,3
680,BENIN,FL,54
680,BENIN,GA,33
680,BENIN,HI,6
680,BENIN,IA,18
680,BENIN,ID,14
680,BENIN,IL,78
680,BENIN,IN,27
680,BENIN,KS,16
680,BENIN,KY,15
680,BENIN,LA,8
680,BENIN,MA,68
680,BENIN,MD,74
680,BENIN,ME,23
680,BENIN,MI,59
680,BENIN,MN,52
680,BENIN,MO,29
680,BENIN,MS,5
680,BENIN,MT,9
680,BENIN,NC,43
680,BENIN,ND,4
680,BENIN,NE,10
680,BENIN,NH,15
680,BENIN,NJ,47
680,BENIN,NM,12
680,BENIN,NV,6
680,BENIN,NY,124
680,BENIN,OH,81
680,BENIN,OK,7
680,BENIN,OR,46
680,BENIN,PA,68
680,BENIN,PR,1
680,BENIN,RI,11
680,BENIN,SC,7
680,BENIN,SD,6
680,BENIN,TN,12
680,BENIN,TX,67
680,BENIN,UT,7
680,BENIN,VA,85
680,BENIN,VI,1
680,BENIN,VT,16
680,BENIN,WA,73
680,BENIN,WI,41
680,BENIN,WV,5
680,BENIN,WY,4
511,BOLIVIA,AK,12
